ActionType,ActionParameters,duration,,,,,,
Search,lagos from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VASTVD5_revision_22_July_17_12:41_PM.patch,0,,,,,,
EditNotes,VASTVD5_revision_23_July_18_8:07_AM.patch,0,,,,,,
EditNotes,VASTVD5_revision_24_July_18_8:13_AM.patch,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,isia vann from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,isia vann from 1982-01-01 to 2015-01-01 page 0,50,,,,,,
Search,isia vann from 1982-01-01 to 2015-01-01 page 0,51,,,,,,
Search,isia vann from 1982-01-01 to 2015-01-01 page 0,122,,,,,,
Search,Lorenzo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lorenzo from 1982-01-01 to 2015-01-01 page 0,168,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 1,18,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,39,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 265,49,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,55,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,90,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
GetDetail,Article 265,1,,,,,,
GetDetail,Article 308,10,,,,,,
Search,isia from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Isia AND Bodrigo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Isia AND Bodrigo from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Isia OR Bodrigo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Isia OR Bodrigo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Email Header 1131,1,,,,,,
GetDetail,Email Header 1131,1,,,,,,
GetDetail,Email Header 1119,4,,,,,,
GetDetail,Email Header 1119,6,,,,,,
GetDetail,Email Header 976,6,,,,,,
GetDetail,Email Header 976,6,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Employee Record 33,3,,,,,,
GetDetail,Employee Record 5,3,,,,,,
GetDetail,Employee Record 33,1,,,,,,
GetDetail,Employee Record 47,2,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,2,,,,,,
GetDetail,Employee Record 33,12,,,,,,
GetDetail,Employee Record 33,1,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,224,,,,,,
EditNotes,VASTVD5_revision_26_July_18_8:30_AM.patch,45,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 4,2,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 3,2,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 2,2,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
GetDetail,Article 19,43,,,,,,
GetDetail,Article 47,106,,,,,,
GetDetail,Article 233,26,,,,,,
EditNotes,VASTVD5_revision_28_July_18_8:34_AM.patch,300,,,,,,
EditNotes,VASTVD5_revision_34_July_18_8:39_AM.patch,0,,,,,,
EditNotes,VASTVD5_revision_35_July_18_8:46_AM.patch,136,,,,,,
Search,Loreto from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Loreto from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,12,,,,,,
GetDetail,Employee Record 52,5,,,,,,
GetDetail,Email Header 1164,5,,,,,,
GetDetail,Email Header 1114,5,,,,,,
GetDetail,Email Header 1099,14,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,97,,,,,,
Search,Abila from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
EditNotes,VASTVD5_revision_38_July_18_8:51_AM.patch,14,,,,,,
Search,The Abila Post from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,The Abila Post from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
GetDetail,Article 430,1,,,,,,
GetDetail,Article 442,3,,,,,,
GetDetail,Article 250,2,,,,,,
Search,The Abila Post from 1982-01-01 to 2015-01-01 page 1,25,,,,,,
GetDetail,Article 53,2,,,,,,
GetDetail,Article 134,5,,,,,,
GetDetail,Article 249,53,,,,,,
EditNotes,VASTVD5_revision_39_July_18_8:53_AM.patch,72,,,,,,
GetDetail,Article 302,16,,,,,,
GetDetail,Article 358,2,,,,,,
GetDetail,Article 337,4,,,,,,
GetDetail,Article 404,14,,,,,,
Search,ON THE SCENE from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,ON THE SCENE from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 358,2,,,,,,
GetDetail,Article 337,1,,,,,,
GetDetail,Article 404,3,,,,,,
GetDetail,Article 404,1,,,,,,
GetDetail,Article 250,2,,,,,,
GetDetail,Article 258,2,,,,,,
GetDetail,Article 220,1,,,,,,
GetDetail,Article 15,4,,,,,,
GetDetail,Article 175,2,,,,,,
GetDetail,Article 157,1,,,,,,
GetDetail,Article 133,2,,,,,,
GetDetail,Article 166,2,,,,,,
GetDetail,Article 430,14,,,,,,
Search,ON THE SCENE from 1982-01-20 to 2015-01-01 page 0,6,,,,,,
GetDetail,Article 166,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,ON THE SCENE from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,ON THE SCENE from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
GetDetail,Article 74,1,,,,,,
GetDetail,Article 41,3,,,,,,
EditNotes,VASTVD5_revision_42_July_18_8:56_AM.patch,20,,,,,,
GetDetail,Article 41,2,,,,,,
GetDetail,Article 74,1,,,,,,
GetDetail,Article 74,10,,,,,,
Search,ON THE SCENE from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Article 360,15,,,,,,
GetDetail,Article 360,2,,,,,,
GetDetail,Article 358,3,,,,,,
GetDetail,Article 360,2,,,,,,
GetDetail,Article 358,3,,,,,,
EditNotes,VASTVD5_revision_44_July_18_8:57_AM.patch,13,,,,,,
GetDetail,Article 358,3,,,,,,
GetDetail,Article 337,26,,,,,,
GetDetail,Article 337,1,,,,,,
GetDetail,Article 337,3,,,,,,
GetDetail,Article 404,9,,,,,,
GetDetail,Article 404,2,,,,,,
GetDetail,Article 250,3,,,,,,
EditNotes,VASTVD5_revision_47_July_18_8:58_AM.patch,7,,,,,,
GetDetail,Article 250,2,,,,,,
GetDetail,Article 258,8,,,,,,
GetDetail,Article 258,2,,,,,,
GetDetail,Article 220,8,,,,,,
GetDetail,Article 15,14,,,,,,
GetDetail,Article 220,2,,,,,,
GetDetail,Article 15,4,,,,,,
GetDetail,Article 15,1,,,,,,
GetDetail,Article 175,10,,,,,,
GetDetail,Article 157,2,,,,,,
EditNotes,VASTVD5_revision_49_July_18_8:59_AM.patch,6,,,,,,
GetDetail,Article 157,6,,,,,,
GetDetail,Article 157,2,,,,,,
GetDetail,Article 133,40,,,,,,
GetDetail,Article 157,2,,,,,,
GetDetail,Article 133,4,,,,,,
EditNotes,VASTVD5_revision_50_July_18_9:00_AM.patch,7,,,,,,
GetDetail,Article 166,10,,,,,,
GetDetail,Article 166,2,,,,,,
GetDetail,Article 430,41,,,,,,
EditNotes,VASTVD5_revision_54_July_18_9:01_AM.patch,337,,,,,,
GetDetail,Article 340,2,,,,,,
GetDetail,Article 27,4,,,,,,
GetDetail,Article 430,17,,,,,,
EditNotes,VASTVD5_revision_66_July_18_9:07_AM.patch,65,,,,,,
GetDetail,Article 430,1,,,,,,
GetDetail,Article 430,1,,,,,,
GetDetail,Article 166,2,,,,,,
GetDetail,Article 27,2,,,,,,
GetDetail,Article 166,11,,,,,,
GetDetail,Article 27,38,,,,,,
EditNotes,VASTVD5_revision_68_July_18_9:09_AM.patch,108,,,,,,
Search,Homeland from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Homeland from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 105,22,,,,,,
GetDetail,Article 86,6,,,,,,
GetDetail,Article 282,9,,,,,,
GetDetail,Article 282,3,,,,,,
GetDetail,Article 78,10,,,,,,
GetDetail,Article 221,13,,,,,,
GetDetail,Article 221,1,,,,,,
GetDetail,Article 95,3,,,,,,
GetDetail,Article 108,32,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
GetDetail,Article 336,5,,,,,,
GetDetail,Article 280,9,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
GetDetail,Article 451,29,,,,,,
GetDetail,Article 12,27,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 280,18,,,,,,
GetDetail,Article 110,25,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 406,18,,,,,,
GetDetail,Article 121,7,,,,,,
GetDetail,Article 406,8,,,,,,
GetDetail,Article 121,3,,,,,,
GetDetail,Article 265,6,,,,,,
GetDetail,Article 121,2,,,,,,
GetDetail,Article 59,3,,,,,,
GetDetail,Article 279,1,,,,,,
GetDetail,Article 56,2,,,,,,
GetDetail,Article 56,3,,,,,,
GetDetail,Article 227,3,,,,,,
GetDetail,Article 265,3,,,,,,
GetDetail,Article 121,4,,,,,,
GetDetail,Article 406,26,,,,,,
GetDetail,Article 265,1,,,,,,
GetDetail,Article 227,4,,,,,,
GetDetail,Article 265,2,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,IPO from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
GetDetail,Article 124,36,,,,,,
GetDetail,Article 63,9,,,,,,
GetDetail,Article 240,78,,,,,,
GetDetail,Article 336,64,,,,,,
GetDetail,Article 336,5,,,,,,
GetDetail,Article 127,161,,,,,,
GetDetail,Article 67,26,,,,,,
GetDetail,Article 67,1,,,,,,
GetDetail,Article 67,2,,,,,,
GetDetail,Article 382,4,,,,,,
GetDetail,Article 87,3,,,,,,
GetDetail,Article 168,22,,,,,,
GetDetail,Article 168,3,,,,,,
GetDetail,Article 193,53,,,,,,
GetDetail,Article 358,15,,,,,,
GetDetail,Article 358,2,,,,,,
GetDetail,Article 63,8,,,,,,
GetDetail,Article 446,121,,,,,,
Search,Security from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Security from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 54,19,,,,,,
GetDetail,Employee Record 53,5,,,,,,
GetDetail,Employee Record 53,0,,,,,,
EditNotes,VASTVD5_revision_70_July_18_9:33_AM.patch,42,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,21,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,hiring from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,hiring from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Hiring from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hiring from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Human Resources from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Human Resources from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,HR from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,HR from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VASTVD5_revision_71_July_18_10:04_AM.patch,40,,,,,,
Search,Resumir from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Resumir from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Resume-FelixResumir.pdf,114,,,,,,
Search,Resumir from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Hafon from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Hafon from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Resume-AlbinaHafon.pdf,34,,,,,,
GetDetail,Employee Record 30,4,,,,,,
Search,Facilities from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Facilities from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 26,3,,,,,,
GetDetail,Employee Record 26,2,,,,,,
GetDetail,Employee Record 26,1,,,,,,
GetDetail,Employee Record 26,2,,,,,,
GetDetail,Employee Record 27,8,,,,,,
GetDetail,Employee Record 28,4,,,,,,
GetDetail,Employee Record 29,17,,,,,,
GetDetail,Employee Record 30,3,,,,,,
GetDetail,Employee Record 32,9,,,,,,
GetDetail,Employee Record 33,7,,,,,,
GetDetail,Employee Record 36,8,,,,,,
Search,Claudio from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Claudio from 1982-01-01 to 2015-01-01 page 0,26,,,,,,
Search,Hideki from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hideki from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Resume-HidekiCocinaro.pdf,108,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Badging from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Badging from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 44,46,,,,,,
GetDetail,Employee Record 45,3,,,,,,
GetDetail,Employee Record 44,4,,,,,,
GetDetail,Employee Record 45,112,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Lagos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lagos from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
GetDetail,Employee Record 4,12,,,,,,
GetDetail,Employee Record 45,4,,,,,,
GetDetail,Employee Record 4,14,,,,,,
GetDetail,Employee Record 45,2,,,,,,
GetDetail,Employee Record 4,1,,,,,,
GetDetail,Employee Record 45,4,,,,,,
GetDetail,Employee Record 4,1,,,,,,
GetDetail,Employee Record 45,1,,,,,,
GetDetail,Employee Record 4,7,,,,,,
GetDetail,Employee Record 45,2,,,,,,
GetDetail,Employee Record 4,2,,,,,,
GetDetail,Employee Record 45,2,,,,,,
GetDetail,Employee Record 4,7,,,,,,
GetDetail,Resume-LindaLagos.pdf,18,,,,,,
GetDetail,Employee Record 45,13,,,,,,
GetDetail,Article 360,100,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
GetDetail,Article 265,10,,,,,,
GetDetail,Article 227,3,,,,,,
GetDetail,Article 265,25,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 87,14,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Avila from 1982-01-01 to 2015-01-01 page 0,44,,,,,,
EditNotes,VASTVD5_revision_72_July_18_10:25_AM.patch,22,,,,,,
GetDetail,Article 63,218,,,,,,
EditNotes,VASTVD5_revision_73_July_18_10:29_AM.patch,60,,,,,,
EditNotes,VASTVD5_revision_74_July_18_10:30_AM.patch,0,,,,,,
Search,jet from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,jet from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
GetDetail,Article 210,10,,,,,,
GetDetail,Article 426,20,,,,,,
GetDetail,Article 412,8,,,,,,
GetDetail,Article 426,2,,,,,,
GetDetail,Article 232,6,,,,,,
GetDetail,Article 211,9,,,,,,
GetDetail,Article 211,3,,,,,,
GetDetail,Article 221,6,,,,,,
GetDetail,Article 221,2,,,,,,
GetDetail,Article 443,13,,,,,,
GetDetail,Article 443,3,,,,,,
GetDetail,Article 139,5,,,,,,
GetDetail,Article 139,1,,,,,,
GetDetail,Article 443,2,,,,,,
GetDetail,Article 139,3,,,,,,
GetDetail,Article 139,1,,,,,,
GetDetail,Article 362,2,,,,,,
GetDetail,Article 139,1,,,,,,
GetDetail,Article 387,24,,,,,,
GetDetail,Article 139,4,,,,,,
Search,Kronos Star from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Kronos Star from 1982-01-01 to 2015-01-01 page 0,27,,,,,,
GetDetail,Article 79,71,,,,,,
GetDetail,Article 423,1,,,,,,
GetDetail,Article 423,1,,,,,,
GetDetail,Article 79,4,,,,,,
GetDetail,Article 182,3,,,,,,
GetDetail,Article 150,3,,,,,,
GetDetail,Article 102,0,,,,,,
Search,Kronos Star from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,BLOTTER from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,BLOTTER from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 401,12,,,,,,
GetDetail,Article 377,4,,,,,,
GetDetail,Article 343,6,,,,,,
GetDetail,Article 401,1,,,,,,
GetDetail,Article 343,75,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,127,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,81,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,22,,,,,,
Search,Lucas from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lucas from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Resume-LucasAlcazar.pdf,0,,,,,,
EditNotes,VASTVD5_revision_76_July_18_11:04_AM.patch,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Guy's from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Gyros from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Desafio from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Desafio from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,86,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
GetDetail,Email Header 1131,1,,,,,,
GetDetail,Email Header 1131,15,,,,,,
GetDetail,Email Header 960,9,,,,,,
GetDetail,Email Header 889,11,,,,,,
GetDetail,Email Header 870,57,,,,,,
GetDetail,Email Header 780,13,,,,,,
GetDetail,Email Header 677,9,,,,,,
GetDetail,Email Header 678,9,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Email Header 676,10,,,,,,
GetDetail,Email Header 676,12,,,,,,
GetDetail,Email Header 676,14,,,,,,
GetDetail,Email Header 676,7,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,ARISE from 1982-01-01 to 2015-01-01 page 0,100,,,,,,
GetDetail,Email Header 664,3,,,,,,
GetDetail,Email Header 666,2,,,,,,
GetDetail,Email Header 668,14,,,,,,
Search,Haber from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Haber from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 5,16,,,,,,
GetDetail,Email Header 1159,31,,,,,,
Search,From: Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,"From: Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0	2019-07-18 15:14:29.572128+00
16743	VastVD5@ncsu-las.net	Search	From: Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0",4,,,,,,
Search,From: Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,From: Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Ruscella.Mies.Haber@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Email Header 940,15,,,,,,
GetDetail,Email Header 898,65,,,,,,
GetDetail,Email Header 294,13,,,,,,
GetDetail,Email Header 294,38,,,,,,
Search,Rachel from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Rachel from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Email Header 1153,3,,,,,,
GetDetail,Resume-RachelPantanal.pdf,17,,,,,,
GetDetail,Employee Record 3,6,,,,,,
GetDetail,Employee Record 3,48,,,,,,
GetDetail,Email Header 72,6,,,,,,
GetDetail,Email Header 72,8,,,,,,
GetDetail,Email Header 98,4,,,,,,
GetDetail,Email Header 98,5,,,,,,
GetDetail,Email Header 113,2,,,,,,
GetDetail,Email Header 113,5,,,,,,
GetDetail,Email Header 119,15,,,,,,
GetDetail,Email Header 169,38,,,,,,
GetDetail,Email Header 300,62,,,,,,
GetDetail,Email Header 372,1,,,,,,
GetDetail,Email Header 384,6,,,,,,
GetDetail,Email Header 372,155,,,,,,
GetDetail,Email Header 424,8,,,,,,
GetDetail,Email Header 471,24,,,,,,
GetDetail,Email Header 495,60,,,,,,
GetDetail,Email Header 657,16,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,56,,,,,,
GetDetail,Email Header 568,1,,,,,,
GetDetail,Email Header 568,4,,,,,,
GetDetail,Email Header 567,10,,,,,,
Search,Claudio from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Claudio from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Resume-ClaudioHawelon.pdf,5,,,,,,
Search,Files from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Files from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Email Header 1101,3,,,,,,
GetDetail,Email Header 1101,3,,,,,,
GetDetail,Email Header 1067,17,,,,,,
GetDetail,Email Header 372,6,,,,,,
GetDetail,Email Header 112,16,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 43,7,,,,,,
GetDetail,Employee Record 48,12,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,70,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
GetDetail,Article 419,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 2,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 3,3,,,,,,
GetDetail,Article 259,3,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 4,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 5,1,,,,,,
GetDetail,Article 387,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 6,10,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 5,2,,,,,,
GetDetail,Article 387,0,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 1,5,,,,,,
Search,Sanjorge Sr. from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Sanjorge Sr from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Sanjorge Sr from 1982-01-01 to 2015-01-01 page 0,34,,,,,,
Search,Sanjorge Jr from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Sanjorge Jr from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search,Sanjorge Jr from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
Search,Sanjorge Jr from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
GetDetail,Article 159,9,,,,,,
GetDetail,Article 331,7,,,,,,
GetDetail,Article 438,12,,,,,,
GetDetail,Article 438,1,,,,,,
GetDetail,Article 359,13,,,,,,
GetDetail,Article 359,2,,,,,,
GetDetail,Article 309,10,,,,,,
GetDetail,Article 416,14,,,,,,
GetDetail,Article 83,4,,,,,,
GetDetail,Article 268,9,,,,,,
GetDetail,Article 268,1,,,,,,
GetDetail,Article 19,24,,,,,,
GetDetail,Article 363,24,,,,,,
Search,assault from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,assault from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 140,6,,,,,,
Search,assault from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,assault from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,cottony candy from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,cottony candy from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
