ActionParameters,duration,ParameterCode
Article 454,4,
Article 152,5,
Article 50,5,
Article 423,9,
Article 3,8,
Article 86,21,
Article 105,30,
Article 81,31,
Article 210,0,
Article 406,0,
Article 265,52,
Article 265,6,
Article 227,0,
Article 227,0,
Article 56,25,
Article 279,0,
Article 408,116,
Article 406,9,
Article 121,14,
Article 265,22,
Article 227,18,
Article 56,51,
Article 99,2,
Article 99,57,
Article 59,3,
Article 99,9,
Article 121,1,
Article 265,44,
Article 265,1,
Article 227,12,
Article 56,39,
Article 406,11,
Article 265,15,
Article 408,2,
Article 81,20,
Article 110,60,
Article 328,44,
Article 308,63,
Article 265,36,
Article 308,4,
Article 265,24,
Article 117,43,
Article 436,6,
Article 147,134,
Article 320,43,
Article 251,156,
Article 222,17,
Article 436,56,
Article 182,12,
Article 60,3,
Article 54,4,
Article 68,11,
Article 443,9,
Article 35,11,
Article 195,14,
Article 195,1,
Article 195,1,
Article 35,2,
Article 195,6,
Article 219,17,
Article 291,6,
Article 314,23,
Article 117,25,
Article 251,15,
Article 192,32,
Article 46,17,
Article 429,22,
Article 52,4,
Article 436,61,
Article 251,9,
Article 117,17,
Article 143,14,
Article 81,33,
Article 446,90,
Article 419,70,
Article 267,71,
Article 264,24,
Article 112,47,
Article 79,22,
Article 221,18,
Article 78,8,
Article 165,9,
Article 289,80,
Article 5,16,
Article 227,21,
Article 279,6,
Article 408,6,
Article 81,21,
Article 210,15,
Article 446,45,
Article 103,36,
Article 446,46,
Article 213,110,
Article 442,16,
Article 302,111,
Article 164,23,
Article 253,14,
Article 240,6,
Article 384,30,
Article 114,3,
Article 205,30,
Article 176,6,
Article 283,102,
Article 328,3,
Article 17,7,
Article 283,2,
Article 228,58,
Article 437,7,
Article 308,42,
Article 288,10,
Article 143,63,
Article 147,14,
Article 209,32,
Article 236,2,
Article 353,6,
Article 320,73,
Article 40,5,
Article 421,11,
Article 148,17,
Article 201,19,
Article 163,1,
Article 85,31,
Article 160,7,
Article 45,10,
Article 212,20,
Article 343,15,
Article 377,5,
Article 401,11,
Article 149,72,
Article 339,6,
Article 274,2,
Article 39,2,
Article 395,7,
Article 106,11,
Article 377,4,
Article 401,36,
Article 343,4,
Article 401,18,
Article 307,16,
Article 172,6,
Article 311,10,
Article 254,13,
Article 235,29,
Article 141,22,
Article 425,1,
Article 146,19,
Article 396,26,
Article 40,31,
Article 437,2,
Article 228,42,
Article 265,8,
Article 308,8,
Article 265,52,
Article 308,25,
Article 138,5,
Article 334,5,
Article 215,2,
Article 143,41,
Article 307,24,
Article 28,25,
Article 227,4,
Article 56,2,
Article 279,4,
Article 59,14,
Article 59,4,
Article 99,3,
Article 162,11,
Article 408,29,
Article 27,7,
Article 322,11,
Article 454,3,
Article 423,2,
Article 3,8,
Article 81,103,
Article 446,0,
Article 213,64,
Article 419,0,
Article 267,0,
Article 133,4,
Article 74,6,
Article 166,7,
Article 255,6,
Article 259,6,
Article 112,6,
Article 193,7,
Article 195,4,
Article 4,5,
Article 1,254,
Article 87,33,
Article 38,11,
Article 336,50,
Article 249,12,
Article 382,11,
Article 87,0,
Article 123,4,
Article 263,0,
Article 5,6,
Article 351,10,
Article 385,9,
Article 388,4,
Article 73,15,
Article 232,16,
Article 426,10,
Article 289,12,
Article 341,5,
Article 203,23,
Article 203,2,
Article 412,116,
Article 341,3,
Article 289,0,
Article 385,10,
Article 385,4,
Article 388,9,
Article 73,2,
Article 232,3,
Article 426,3,
Article 289,2,
Article 341,1,
Article 203,2,
Article 412,2,
Article 354,3,
Article 318,1,
Article 92,3,
Article 195,5,
Article 1,3,
Article 422,9,
Article 314,5,
Article 68,16,
Article 35,3,
Article 135,7,
Article 371,6,
Article 195,8,
Article 260,13,
Article 393,3,
Article 88,8,
Article 422,16,
Article 422,2,
Article 139,11,
Article 132,4,
Article 135,6,
Article 102,5,
Article 54,1,
Article 150,35,
Article 219,2,
Article 60,1,
Article 182,2,
Article 79,8,
Article 219,2,
Article 150,1,
Article 54,2,
Article 102,1,
Article 135,1,
Article 132,2,
Article 139,2,
Article 422,1,
Article 88,1,
Article 393,2,
Article 260,1,
Article 195,2,
Article 422,2,
Article 139,2,
Article 132,26,
Article 422,2,
Article 132,2,
Article 135,2,
Article 102,40,
Article 132,1,
Article 135,10,
Article 135,2,
Article 132,1,
Article 139,2,
Article 422,1,
Article 88,2,
Article 393,2,
Article 260,2,
Article 195,1,
Article 371,2,
Article 135,4,
Article 35,3,
Article 260,1,
Article 393,1,
Article 88,9,
Article 406,0,
Article 408,41,
Article 406,14,
Article 408,31,
Article 121,57,
Article 265,201,
Article 227,32,
Article 56,38,
Article 279,19,
Article 59,53,
Article 99,37,
Article 162,67,
Article 408,19,
Article 27,10,
Article 340,8,
Article 430,25,
Article 306,10,
Article 322,43,
Article 149,79,
Article 406,8,
Article 454,5,
Article 152,13,
Article 50,17,
Article 423,27,
Article 3,33,
Article 86,45,
Article 105,35,
Article 81,49,
Article 210,49,
Article 256,8,
Article 446,80,
Article 63,72,
Article 213,18,
Article 267,85,
Article 267,17,
Article 79,10,
Article 421,28,
Article 79,3,
Article 265,46,
Article 441,10,
Article 112,55,
Article 384,24,
Article 352,11,
Article 136,34,
Article 118,26,
Article 406,48,
Article 99,39,
Article 408,51,
Article 322,11,
Article 454,3,
Article 152,47,
Article 86,14,
Article 227,40,
Article 5,14,
Article 412,9,
Article 105,51,
Article 86,16,
Article 210,15,
Article 256,43,
Article 78,21,
Article 217,7,
Article 221,11,
Article 211,7,
Article 95,6,
Article 108,30,
Article 165,12,
Article 221,4,
Article 282,17,
Article 95,4,
Article 297,7,
Article 72,7,
Article 426,11,
Article 49,9,
Article 73,9,
Article 92,7,
Article 181,0,
Article 406,5,
Article 121,2,
Article 265,15,
Article 406,0,
Article 406,143,
Article 406,0,
Article 56,0,
Article 406,35,
Article 56,17,
Article 81,246,
Article 81,2,
Article 240,47,
Article 81,11,
Article 378,63,
Article 54,11,
Article 406,154,
Article 227,33,
Article 121,0,
Article 86,40,
Article 221,14,
Article 325,11,
Article 221,4,
Article 325,2,
Article 8,27,
Article 457,147,
Article 268,30,
Article 194,9,
Article 47,76,
Article 40,21,
Article 251,17,
Article 265,1,
Article 265,1,
Article 265,37,
Article 86,4,
Article 221,9,
Article 325,22,
Article 325,21,
Article 457,5,
Article 307,62,
Article 452,0,
Article 432,4,
Article 86,8,
Article 262,2,
Article 268,165,
Article 262,15,
Article 47,0,
Article 367,50,
Article 278,16,
Article 319,0,
Article 133,87,
Article 87,0,
Article 38,53,
Article 38,2,
Article 123,28,
Article 263,16,
Article 449,43,
Article 49,28,
Article 341,86,
Article 426,48,
Article 341,7,
Article 341,5,
Article 351,4,
Article 426,7,
Article 351,26,
Article 351,4,
Article 351,3,
Article 412,6,
Article 412,1,
Article 412,2,
Article 412,1,
Article 351,1,
Article 412,2,
Article 181,0,
Article 181,1,
Article 181,3,
Article 181,2,
Article 354,26,
Article 203,21,
Article 388,18,
Article 232,30,
Article 385,7,
Article 272,275,
Article 385,2,
Article 272,2,
Article 73,7,
Article 73,1,
Article 92,14,
Article 289,50,
Article 289,3,
Article 318,24,
Article 318,2,
Article 5,11,
Article 380,9,
Article 72,92,
Article 72,3,
Article 297,15,
Article 297,2,
Article 108,31,
Article 108,1,
Article 108,3,
Article 373,7,
Article 217,6,
Article 217,3,
Article 381,14,
Article 381,4,
Article 221,175,
Article 221,3,
Article 211,52,
Article 221,5,
Article 211,6,
Article 183,1,
Article 9,2,
Article 183,137,
Article 183,2,
Article 9,6,
Article 9,3,
Article 161,0,
Article 161,32,
Article 95,6,
Article 78,96,
Article 78,1,
Article 165,6,
Article 325,26,
Article 78,5,
Article 95,16,
Article 161,2,
Article 95,4,
Article 78,3,
Article 165,34,
Article 325,14,
Article 282,34,
Article 325,7,
Article 282,5,
Article 4,0,
Article 408,44,
Article 27,16,
Article 3,24,
Article 81,27,
Article 267,87,
Article 133,235,
Article 164,40,
Article 198,17,
Article 253,18,
Article 253,42,
Article 205,24,
Article 176,8,
Article 298,47,
Article 38,13,
Article 40,56,
Article 376,17,
Article 162,19,
Article 3,11,
Article 3,6,
Article 35,9,
Article 240,37,
Article 265,98,
Article 56,19,
Article 265,3,
Article 56,4,
Article 162,32,
Article 124,33,
Article 63,74,
Article 213,20,
Article 442,23,
Article 133,10,
Article 446,18,
Article 265,43,
Article 121,60,
Article 265,108,
Article 265,0,
Article 265,22,
Article 56,113,
Article 279,41,
Article 265,21,
Article 308,11,
Article 59,62,
Article 162,28,
Article 408,170,
Article 408,14,
Article 430,10,
Article 340,3,
Article 27,8,
Article 3,79,
Article 408,55,
Article 260,28,
Article 393,6,
Article 195,18,
Article 351,36,
Article 17,109,
Article 328,11,
Article 316,6,
Article 457,0,
Article 320,39,
Article 40,0,
Article 126,23,
Article 120,27,
Article 22,29,
Article 326,61,
Article 399,0,
Article 419,35,
Article 267,101,
Article 442,98,
Article 15,151,
Article 358,25,
Article 250,13,
Article 133,23,
Article 258,7,
Article 400,23,
Article 89,158,
Article 306,23,
Article 165,8,
Article 240,0,
Article 336,0,
Article 8,38,
Article 324,65,
Article 176,17,
Article 44,0,
Article 384,113,
Article 17,32,
Article 283,246,
Article 283,5,
Article 17,6,
Article 40,0,
Article 408,28,
Article 306,54,
Article 227,13,
Article 322,8,
Article 152,13,
Article 227,77,
Article 56,32,
Article 279,4,
Article 279,4,
Article 59,37,
Article 279,6,
Article 99,14,
Article 162,66,
Article 408,25,
Article 27,14,
Article 430,46,
Article 306,22,
Article 152,6,
Article 454,4,
Article 50,2,
Article 423,9,
Article 3,29,
Article 105,74,
Article 86,41,
Article 81,27,
Article 256,16,
Article 256,1,
Article 256,2,
Article 256,5,
Article 210,19,
Article 3,4,
Article 105,48,
Article 86,20,
Article 86,6,
Article 210,12,
Article 256,4,
Article 78,8,
Article 211,18,
Article 282,10,
Article 183,7,
Article 221,36,
Article 282,2,
Article 95,7,
Article 297,9,
Article 49,3,
Article 92,2,
Article 181,3,
Article 232,7,
Article 289,16,
Article 221,5,
Article 8,17,
Article 86,21,
Article 262,5,
Article 268,59,
Article 262,5,
Article 47,42,
Article 268,30,
Article 262,16,
Article 47,118,
Article 47,6,
Article 233,7,
Article 367,49,
Article 432,2,
Article 278,6,
Article 233,28,
Article 47,12,
Article 367,11,
Article 278,10,
Article 278,3,
Article 432,31,
Article 319,50,
Article 179,32,
Article 307,2,
Article 179,32,
Article 307,1,
Article 452,56,
Article 457,31,
Article 8,9,
Article 325,5,
Article 221,12,
Article 452,4,
Article 148,22,
Article 347,12,
Article 367,7,
Article 365,27,
Article 16,15,
Article 392,53,
Article 269,27,
Article 47,46,
Article 19,94,
Article 447,42,
Article 43,12,
Article 71,44,
Article 395,13,
Article 149,29,
Article 149,6,
Article 81,0,
Article 59,15,
Article 322,10,
Article 110,29,
Article 103,29,
Article 169,35,
Article 171,46,
Article 227,22,
Article 406,90,
Article 340,8,
Article 340,2,
Article 430,19,
Article 322,35,
Article 56,15,
Article 121,39,
Article 265,14,
Article 279,11,
Article 59,6,
Article 99,13,
Article 408,15,
Article 27,0,
Article 340,2,
Article 430,9,
Article 3,17,
Article 446,248,
Article 442,26,
Article 302,68,
Article 182,7,
Article 140,31,
Article 213,0,
Article 168,46,
Article 108,0,
Article 265,0,
Article 406,10,
Article 63,0,
Article 38,50,
Article 263,5,
Article 38,13,
Article 263,69,
Article 263,4,
Article 38,25,
Article 38,1,
Article 87,128,
Article 38,1,
Article 123,0,
Article 87,23,
Article 263,85,
Article 449,4,
Article 263,4,
Article 449,5,
Article 168,13,
Article 385,23,
Article 388,12,
Article 73,12,
Article 232,27,
Article 426,29,
Article 289,19,
Article 289,3,
Article 341,10,
Article 341,1,
Article 203,35,
Article 203,1,
Article 412,23,
Article 412,5,
Article 203,1,
Article 412,3,
Article 354,8,
Article 318,3,
Article 318,2,
Article 92,8,
Article 217,12,
Article 351,15,
Article 203,7,
Article 5,11,
Article 385,16,
Article 385,3,
Article 289,19,
Article 289,3,
Article 289,1,
Article 181,12,
Article 181,2,
Article 72,31,
Article 72,3,
Article 181,3,
Article 165,7,
Article 9,7,
Article 381,46,
Article 381,3,
Article 183,17,
Article 183,4,
Article 282,5,
Article 282,2,
Article 282,1,
Article 183,4,
Article 282,7,
Article 161,6,
Article 78,14,
Article 78,2,
Article 217,6,
Article 217,2,
Article 165,3,
Article 381,7,
Article 95,4,
Article 221,9,
Article 183,10,
Article 108,29,
Article 108,5,
Article 211,12,
Article 211,2,
Article 4,23,
Article 1,11,
Article 1,13,
Article 422,7,
Article 314,10,
Article 314,2,
Article 314,2,
Article 68,88,
Article 68,2,
Article 35,8,
Article 135,6,
Article 371,16,
Article 195,19,
Article 260,32,
Article 393,3,
Article 88,6,
Article 422,4,
Article 139,13,
Article 139,2,
Article 132,7,
Article 135,3,
Article 102,10,
Article 54,21,
Article 54,3,
Article 150,6,
Article 219,8,
Article 60,15,
Article 219,5,
Article 60,2,
Article 182,8,
Article 79,25,
Article 79,7,
Article 387,239,
Article 191,9,
Article 127,19,
Article 8,12,
Article 324,17,
Article 324,2,
Article 128,5,
Article 67,22,
Article 241,13,
Article 245,6,
Article 382,10,
Article 119,15,
Article 375,49,
Article 87,40,
Article 265,11,
Article 227,23,
Article 322,9,
Article 306,12,
Article 430,20,
Article 430,3,
Article 430,3,
Article 340,8,
Article 27,0,
Article 408,2,
Article 27,5,
Article 340,3,
Article 430,33,
Article 340,5,
Article 27,0,
Article 265,138,
Article 56,6,
Article 406,191,
Article 265,8,
Article 227,128,
Article 56,45,
Article 279,23,
Article 59,107,
Article 162,64,
Article 408,44,
Article 59,25,
Article 99,52,
Article 162,69,
Article 408,6,
Article 162,8,
Article 408,26,
Article 27,11,
Article 340,7,
Article 430,28,
Article 306,26,
Article 322,27,
Article 454,5,
Article 152,11,
Article 50,4,
Article 423,39,
Article 3,17,
Article 50,2,
Article 423,4,
Article 3,4,
Article 86,40,
Article 105,67,
Article 86,12,
Article 81,36,
Article 210,32,
Article 256,7,
Article 210,12,
Article 256,2,
Article 446,48,
Article 124,11,
Article 63,13,
Article 213,81,
Article 63,1,
Article 213,5,
Article 419,88,
Article 419,1,
Article 267,89,
Article 442,10,
Article 267,5,
Article 442,112,
Article 15,10,
Article 358,23,
Article 250,37,
Article 133,43,
Article 133,2,
Article 258,18,
Article 258,10,
Article 360,34,
Article 41,19,
Article 404,24,
Article 404,6,
Article 74,19,
Article 157,15,
Article 157,4,
Article 175,14,
Article 166,8,
Article 301,9,
Article 304,11,
Article 164,22,
Article 259,8,
Article 391,6,
Article 164,4,
Article 89,7,
Article 400,26,
Article 89,12,
Article 400,4,
Article 198,8,
Article 264,15,
Article 253,18,
Article 434,2,
Article 116,8,
Article 441,9,
Article 190,22,
Article 196,9,
Article 223,5,
Article 193,3,
Article 112,5,
Article 193,34,
Article 112,13,
Article 223,4,
Article 228,9,
Article 36,89,
Article 179,23,
Article 179,2,
Article 179,28,
Article 167,53,
Article 265,7,
Article 446,42,
Article 279,48,
Article 56,27,
Article 279,8,
Article 59,36,
Article 27,10,
Article 50,22,
Article 454,7,
Article 3,12,
Article 4,39,
Article 267,5,
Article 442,63,
Article 133,6,
Article 41,59,
Article 74,9,
Article 258,20,
Article 133,18,
Article 89,10,
Article 391,10,
Article 400,43,
Article 97,15,
Article 455,29,
Article 409,8,
Article 400,18,
Article 227,60,
Article 56,7,
Article 56,7,
Article 279,19,
Article 105,7,
Article 423,39,
Article 56,5,
Article 279,25,
Article 99,26,
Article 99,2,
Article 162,20,
Article 105,30,
Article 50,10,
Article 152,15,
Article 454,27,
Article 454,4,
Article 81,13,
Article 210,4,
Article 251,41,
Article 222,57,
Article 436,20,
Article 143,85,
Article 40,53,
Article 452,52,
Article 327,0,
Article 419,99,
Article 157,10,
Article 362,7,
Article 123,64,
Article 41,1,
Article 387,4,
Article 443,7,
Article 157,4,
Article 362,6,
Article 362,3,
Article 123,84,
Article 387,1,
Article 41,133,
Article 406,37,
Article 227,165,
Article 59,0,
Article 314,11,
Article 168,28,
Article 78,11,
Article 314,3,
Article 190,6,
Article 116,10,
Article 264,14,
Article 74,10,
Article 360,16,
Article 175,7,
Article 337,9,
Article 442,57,
Article 3,46,
Article 152,33,
Article 430,20,
Article 408,42,
Article 279,24,
Article 56,4,
Article 279,5,
Article 59,52,
Article 408,23,
Article 419,1,
Article 63,64,
Article 446,9,
Article 256,9,
Article 81,6,
Article 105,10,
Article 86,25,
Article 3,10,
Article 423,24,
Article 267,77,
Article 442,5,
Article 15,5,
Article 358,28,
Article 15,2,
Article 442,9,
Article 358,15,
Article 358,7,
Article 250,8,
Article 220,2,
Article 302,33,
Article 302,20,
Article 265,38,
Article 446,16,
Article 253,16,
Article 424,10,
Article 251,100,
Article 222,38,
Article 436,32,
Article 111,14,
Article 111,4,
Article 111,3,
Article 457,27,
Article 308,47,
Article 265,27,
Article 265,16,
Article 308,18,
Article 143,101,
Article 320,20,
Article 40,10,
Article 421,23,
Article 402,19,
Article 452,46,
Article 275,12,
Article 277,43,
Article 16,11,
Article 19,49,
Article 47,83,
Article 278,9,
Article 367,41,
Article 367,17,
Article 239,8,
Article 406,79,
Article 336,39,
Article 169,41,
Article 363,39,
Article 169,7,
Article 171,22,
Article 363,39,
Article 334,16,
Article 138,18,
Article 143,18,
Article 40,23,
Article 148,33,
Article 148,11,
Article 40,25,
Article 121,47,
Article 265,8,
Article 117,7,
Article 251,7,
Article 251,4,
Article 235,28,
Article 141,6,
Article 355,42,
Article 398,35,
Article 275,19,
Article 154,16,
Article 261,23,
Article 261,3,
Article 378,42,
Article 291,6,
Article 375,25,
Article 128,9,
Article 110,47,
Article 149,21,
Article 395,71,
Article 358,41,
Article 259,23,
Article 259,1,
Article 260,14,
Article 260,2,
Article 219,28,
Article 219,59,
Article 143,116,
Article 147,20,
Article 143,1,
Article 452,51,
Article 372,6,
Article 349,4,
Article 160,2,
Article 107,12,
Article 137,55,
Article 16,23,
Article 16,20,
Article 66,17,
Article 66,6,
Article 403,27,
Article 82,5,
Article 269,19,
Article 47,15,
Article 157,31,
Article 211,5,
Article 157,0,
Article 443,94,
Article 157,25,
Article 211,14,
Article 211,90,
Article 422,6,
Article 1,11,
Article 443,4,
Article 422,7,
Article 393,4,
Article 371,5,
Article 314,44,
Article 1,8,
Article 422,10,
Article 422,2,
Article 422,2,
Article 393,8,
Article 393,2,
Article 371,7,
Article 371,4,
Article 314,10,
Article 314,3,
Article 182,10,
Article 35,9,
Article 35,1,
Article 54,10,
Article 54,2,
Article 60,5,
Article 60,2,
Article 68,9,
Article 88,8,
Article 88,1,
Article 88,1,
Article 102,7,
Article 102,2,
Article 132,7,
Article 135,9,
Article 135,1,
Article 260,3,
Article 260,2,
Article 139,14,
Article 150,8,
Article 150,2,
Article 195,12,
Article 195,2,
Article 219,8,
Article 219,1,
Article 291,12,
Article 291,185,
Article 351,15,
Article 334,13,
Article 59,26,
Article 341,73,
Article 341,2,
Article 351,10,
Article 334,4,
Article 334,3,
Article 334,1,
Article 59,108,
Article 59,4,
Article 99,5,
Article 423,70,
Article 423,5,
Article 446,25,
Article 446,4,
Article 124,0,
Article 406,66,
Article 322,30,
Article 306,17,
Article 430,6,
Article 306,4,
Article 430,23,
Article 340,7,
Article 27,9,
Article 430,7,
Article 340,6,
Article 27,1,
Article 340,3,
Article 27,3,
Article 408,25,
Article 27,4,
Article 408,5,
Article 162,53,
Article 162,7,
Article 162,1,
Article 162,3,
Article 99,89,
Article 99,2,
Article 59,7,
Article 279,79,
Article 56,28,
Article 227,74,
Article 406,0,
Article 121,5,
Article 121,140,
Article 227,5,
Article 279,22,
Article 227,20,
Article 454,23,
Article 56,27,
Article 222,143,
Article 436,96,
Article 111,5,
Article 436,4,
Article 111,7,
Article 143,0,
Article 209,63,
Article 353,6,
Article 320,110,
Article 40,230,
Article 395,101,
Article 395,6,
Article 345,98,
Article 326,27,
Article 345,9,
Article 141,15,
Article 138,26,
Article 386,20,
Article 268,108,
Article 268,5,
Article 47,77,
Article 265,2,
Article 227,34,
Article 298,75,
Article 327,176,
Article 365,69,
Article 410,27,
Article 140,15,
Article 140,4,
Article 417,10,
Article 417,4,
Article 205,11,
Article 117,14,
Article 251,106,
Article 222,37,
Article 436,16,
Article 143,105,
Article 147,10,
Article 334,28,
Article 178,26,
Article 284,20,
Article 238,41,
Article 348,8,
Article 348,3,
Article 42,82,
Article 348,2,
Article 42,4,
Article 406,140,
Article 121,111,
Article 265,154,
Article 227,52,
Article 56,25,
Article 279,215,
Article 99,15,
Article 162,113,
Article 162,8,
Article 408,8,
Article 322,26,
Article 193,36,
Article 196,20,
Article 193,25,
Article 112,55,
Article 193,4,
Article 112,8,
Article 223,4,
Article 387,26,
Article 2,116,
Article 366,30,
Article 294,39,
Article 79,6,
Article 223,7,
Article 129,54,
Article 155,43,
Article 191,52,
Article 193,0,
Article 112,165,
Article 115,32,
Article 80,85,
Article 180,72,
Article 196,107,
Article 294,97,
Article 294,6,
Article 366,25,
Article 366,4,
Article 362,22,
Article 2,234,
Article 362,4,
Article 2,10,
Article 2,3,
Article 387,0,
Article 387,14,
Article 362,4,
Article 366,4,
Article 366,1,
Article 294,5,
Article 223,4,
Article 129,6,
Article 155,11,
Article 191,0,
Article 227,0,
Article 59,22,
Article 430,29,
Article 423,61,
Article 81,71,
Article 81,9,
Article 446,48,
Article 423,24,
Article 59,5,
Article 99,56,
Article 63,22,
Article 442,29,
Article 250,21,
Article 264,27,
Article 434,10,
Article 434,6,
Article 2,18,
Article 56,7,
Article 279,15,
Article 59,14,
Article 99,29,
Article 408,18,
Article 406,11,
Article 121,9,
Article 227,8,
Article 59,9,
Article 430,37,
Article 408,82,
Article 430,23,
Article 423,20,
Article 446,12,
Article 430,8,
Article 99,20,
Article 423,18,
Article 81,19,
Article 446,24,
Article 124,22,
Article 213,28,
Article 2,49,
Article 442,27,
Article 317,8,
Article 255,15,
Article 441,23,
Article 139,6,
Article 443,11,
Article 87,39,
Article 38,56,
Article 123,42,
Article 263,30,
Article 449,10,
Article 168,23,
Article 49,19,
Article 87,14,
Article 123,71,
Article 263,17,
Article 263,3,
Article 168,13,
Article 49,7,
Article 412,18,
Article 272,17,
Article 289,30,
Article 272,3,
Article 289,2,
Article 388,24,
Article 92,25,
Article 232,13,
Article 380,11,
Article 203,6,
Article 203,2,
Article 73,4,
Article 354,9,
Article 351,28,
Article 341,8,
Article 181,18,
Article 426,6,
Article 5,1,
Article 426,39,
Article 446,43,
Article 213,26,
Article 213,4,
Article 265,12,
Article 227,10,
Article 419,29,
Article 263,49,
Article 87,10,
Article 237,37,
Article 87,15,
Article 87,6,
Article 168,59,
Article 449,15,
Article 408,22,
Article 362,10,
Article 427,6,
Article 419,15,
Article 419,51,
Article 198,24,
Article 198,5,
Article 97,15,
Article 234,6,
Article 257,6,
Article 302,78,
Article 358,18,
Article 74,13,
Article 404,9,
Article 250,16,
Article 250,2,
Article 337,11,
Article 250,2,
Article 175,15,
Article 175,2,
Article 175,2,
Article 41,19,
Article 41,3,
Article 166,7,
Article 133,5,
Article 133,3,
Article 253,12,
Article 264,6,
Article 391,6,
Article 317,14,
Article 164,9,
Article 332,5,
Article 27,16,
Article 340,7,
Article 430,17,
Article 340,3,
Article 430,2,
Article 442,32,
Article 442,2,
Article 133,36,
Article 175,110,
Article 15,42,
Article 258,10,
Article 250,10,
Article 404,9,
Article 358,15,
Article 220,7,
Article 41,50,
Article 74,6,
Article 166,3,
Article 302,3,
Article 56,23,
Article 222,21,
Article 147,41,
Article 265,18,
Article 320,56,
Article 320,8,
Article 312,13,
Article 320,26,
Article 452,2,
Article 28,53,
Article 248,19,
Article 284,18,
Article 201,17,
Article 163,9,
Article 19,9,
Article 40,27,
Article 72,9,
Article 272,5,
Article 442,7,
Article 41,9,
Article 387,7,
Article 180,88,
Article 387,11,
Article 388,10,
Article 99,5,
Article 446,7,
Article 213,1,
Article 63,4,
Article 442,4,
Article 378,24,
Article 255,6,
Article 378,17,
Article 135,5,
Article 139,0,
Article 265,44,
Article 406,24,
Article 265,14,
Article 265,7,
Article 81,46,
Article 63,17,
Article 213,27,
Article 45,14,
Article 344,23,
Article 386,53,
Article 284,34,
Article 113,1,
Article 398,29,
Article 94,42,
Article 218,53,
Article 383,23,
Article 36,19,
Article 56,6,
Article 27,5,
Article 306,3,
Article 86,16,
Article 446,42,
Article 442,16,
Article 133,20,
Article 264,11,
Article 253,21,
Article 79,13,
Article 195,8,
Article 4,5,
Article 222,18,
Article 288,3,
Article 147,12,
Article 312,12,
Article 206,9,
Article 424,15,
Article 402,3,
Article 452,51,
Article 163,9,
Article 347,16,
Article 395,20,
Article 186,5,
Article 120,5,
Article 172,5,
Article 326,12,
Article 345,7,
Article 290,25,
Article 453,10,
Article 21,7,
Article 229,5,
Article 179,20,
Article 390,5,
Article 261,11,
Article 456,2,
Article 348,5,
Article 238,6,
Article 20,12,
Article 71,10,
Article 27,2,
Article 306,3,
Article 86,10,
Article 446,20,
Article 133,13,
Article 195,6,
Article 312,13,
Article 201,4,
Article 163,7,
Article 347,5,
Article 452,43,
Article 40,35,
Article 398,2,
Article 179,39,
Article 265,183,
Article 227,21,
Article 279,16,
Article 408,24,
Article 322,8,
Article 419,20,
Article 454,3,
Article 152,4,
Article 50,7,
Article 3,5,
Article 86,14,
Article 210,19,
Article 213,14,
Article 267,228,
Article 208,13,
Article 114,13,
Article 111,5,
Article 143,26,
Article 209,30,
Article 421,20,
Article 106,61,
Article 146,29,
Article 396,11,
Article 397,14,
Article 136,30,
Article 136,4,
Article 145,7,
Article 271,19,
Article 293,9,
Article 242,97,
Article 162,0,
Article 227,26,
Article 148,12,
Article 85,7,
Article 149,11,
Article 227,13,
Article 87,65,
Article 38,10,
Article 123,57,
Article 263,32,
Article 168,35,
Article 49,5,
Article 341,4,
Article 426,13,
Article 351,12,
Article 412,9,
Article 181,11,
Article 354,5,
Article 203,6,
Article 388,5,
Article 232,11,
Article 385,7,
Article 272,5,
Article 73,3,
Article 92,3,
Article 289,10,
Article 289,2,
Article 289,3,
Article 318,6,
Article 5,11,
Article 380,10,
Article 72,2,
Article 297,18,
Article 297,2,
Article 297,2,
Article 108,16,
Article 373,4,
Article 217,5,
Article 381,11,
Article 221,11,
Article 211,5,
Article 183,11,
Article 9,4,
Article 161,3,
Article 95,4,
Article 165,4,
Article 325,5,
Article 282,9,
Article 4,57,
Article 382,9,
Article 103,43,
Article 110,3,
Article 446,9,
Article 358,5,
Article 193,10,
Article 168,10,
Article 87,5,
Article 382,16,
Article 67,16,
Article 127,3,
Article 336,39,
Article 406,19,
Article 419,45,
Article 157,34,
Article 129,8,
Article 283,10,
Article 17,9,
Article 328,7,
Article 316,18,
Article 123,28,
Article 40,12,
Article 277,5,
Article 365,20,
Article 406,41,
Article 121,52,
Article 265,68,
Article 227,140,
Article 56,21,
Article 279,39,
Article 59,42,
Article 99,25,
Article 162,24,
Article 408,112,
Article 27,6,
Article 340,5,
Article 430,28,
Article 322,36,
Article 306,9,
Article 322,5,
Article 454,4,
Article 152,11,
Article 50,5,
Article 423,33,
Article 3,16,
Article 86,28,
Article 105,31,
Article 81,31,
Article 210,10,
Article 256,5,
Article 446,179,
Article 347,257,
Article 117,16,
Article 40,0,
Article 424,88,
Article 452,66,
Article 28,237,
Article 360,243,
Article 360,1,
Article 43,21,
Article 19,104,
Article 265,8,
Article 446,62,
Article 375,34,
Article 87,123,
Article 38,46,
Article 123,145,
Article 263,22,
Article 449,125,
Article 168,19,
Article 385,174,
Article 385,3,
Article 388,57,
Article 388,4,
Article 73,52,
Article 73,2,
Article 232,40,
Article 426,10,
Article 289,3,
Article 426,4,
Article 289,0,
Article 341,8,
Article 203,7,
